Código Planta,DESCRIPCIÓN BIMBO,Línea de producción,Siglas Línea,Estatus línea,Activo/inactivo,Ubicación física en línea,Centro de Costo,Ubicación física en Planta,BIM,Descripción del activo,Marca,Modelo,Serie,"voltaje, capacidad o dimensiones",Comentarios equipo,Familia Equipo,grafica,Gráfica analisis,,,
BIM-068890,TRANSPORTADOR RODILLOS ENTRADA REBANADORA 3,ALMACEN DE INSUMOS,AI,EQUIPO EN LINEA,ACTIVO,EMPAQUE,0153,,BIM-068890,MM 33 BASCULA P/CAMIONES MCA TOLEDO ALM  M P PL5 TT,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-182327,MONTACARGAS DE PASILLO MITSUBISHI,ALMACEN DE INSUMOS,AI,EQUIPO EN LINEA,ACTIVO,PROCESO ,0153,,BIM-182327,MONTACARGAS DE PASILLO MITSUBISHI,MITSUBISHI,NA,NA,NA,ALMACEN DE INSUMOS,MONTACARGAS,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237884,RACK PUSH BACK PREDIO 118,ALMACEN DE INSUMOS,AI,EQUIPO EN LINEA,ACTIVO,PROCESO ,0153,,BIM-237884,RACK PUSH BACK PREDIO 118,GENERICA,NA,NA,NA,ALMACEN DE INSUMOS,RACK PUSH BACK,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-240780,RACK PUSH BACK PREDIO 118,ALMACEN DE INSUMOS,AI,EQUIPO EN LINEA,ACTIVO,PROCESO ,0153,,BIM-240780,RACK PUSH BACK PREDIO 118,GENERICA,NA,NA,NA,ALMACEN DE INSUMOS,RACK PUSH BACK,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-261114,RACK PUSH BACK  ADICIÓN  P-117,ALMACEN DE INSUMOS,AI,EQUIPO EN LINEA,ACTIVO,PROCESO ,0153,,BIM-261114,RACK PUSH BACK  ADICIÓN  P-117,GENERICA,NA,NA,NA,ALMACEN DE INSUMOS,RACK PUSH BACK,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-277855,MONTACARGAS MOMATT,ALMACEN DE INSUMOS,AI,EQUIPO EN LINEA,ACTIVO,PROCESO ,0153,,BIM-277855,MONTACARGAS MOMATT,MOMAT,NA,NA,NA,ALMACEN DE INSUMOS,MONTACARGAS,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067528,ENVOLVEDORA FMC   PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2712,,Transferencia,ENVOLVEDORA FMC SERVO MOD-1301 #4 PL6 BO2,GENERICA,MOD-1301,NA,NA,BIMBO TOLUCA,ENVOLVEDORA,Capturado,Equipo. c/Código BIM Transferidos a otras plantas,,,
BIM-067970,DETECTOR DE METALES  PL 6 PCC 5,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2712,,Transferencia,DETECTOR DE METALES  PL 6 PCC 5,GENERICA,NA,NA,NA,BIMBO TOLUCA,DETECTOR,Capturado,Equipo. c/Código BIM Transferidos a otras plantas,,,
BIM-067974,ENFRIADOR I. J. WHITE 0223 S-00-0107 PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2712,,Transferencia,ENFRIADOR I J WHITE 0223 S-00-0107 PL=6,J. WHITE,NA,NA,NA,BIMBO TOLUCA,ENFRIADOR,Capturado,Equipo. c/Código BIM Transferidos a otras plantas,,,
BIM-067982,TRANSPORTADOR B39-00-0130  PL=6  B-38A,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2712,,Transferencia,TRANSPORTADOR B39-00-0130  PL=6  B-38A,GENERICA,NA,B39-00-0130,NA,BIMBO TOLUCA,TRANSPORTADOR,Capturado,Equipo. c/Código BIM Transferidos a otras plantas,,,
