Código Planta,DESCRIPCIÓN BIMBO,Planta 5,Siglas Línea,Estatus línea,Activo/inactivo,Ubicación física en línea,Centro de Costo,Ubicación física en Planta,BIM,Descripción del activo,Marca,Modelo,Serie,"voltaje, capacidad o dimensiones",Comentarios equipo,Familia Equipo,Grafica análisis,grafica,BIMBO SANTA MARIA
baja,COMPRESOR DE AIRE PARA TRANSPORTES DEVILBISS TAO.5050 (44643801) 890840,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE B P 117,,Eqpo. c/Código BIM Bajas,baja,COMPRESOR DE AIRE PARA TRANSPORTES DEVILBISS TAO.5050 (44643801) 890840,,,,,,COMPRESORES,Eqpo. c/Código BIM Bajas,Capturado,
baja,BOMBA DE AGUA DE CONDENSADOS REF. 73685 PICSA AURORA I 5-SD OT 64678,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 2 P 117,,Eqpo. c/Código BIM Bajas,baja,BOMBA DE AGUA DE CONDENSADOS REF. 73685 PICSA AURORA I 5-SD OT 64678,,,,,,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,
baja,BOMBA # 3 DE RED DE AGUA NORMAL OV 14580 OCELCO 1 1/4 FL5 64354,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 4 P 118,,Eqpo. c/Código BIM Bajas,baja,BOMBA # 3 DE RED DE AGUA NORMAL OV 14580 OCELCO 1 1/4 FL5 64354,,,,,,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,
baja,TABLERO # 2 (BOMBAS DE AGUA NORMAL) FUERZA 220 V CONTROL 110 V. PICSA T A T 0647,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 4 P 118,,Eqpo. c/Código BIM Bajas,baja,TABLERO # 2 (BOMBAS DE AGUA NORMAL) FUERZA 220 V CONTROL 110 V. PICSA T A T 0647,,,,,,TABLEROS ELECTRICOS,Eqpo. c/Código BIM Bajas,Capturado,
baja,BOMBA # 1 DE RED DE AGUA FRIA SENTINEL C500 TIPO CO 92030218,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,BOMBA # 1 DE RED DE AGUA FRIA SENTINEL C500 TIPO CO 92030218,,,,,,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,
baja,BOMBA # 1 LLENADO DE CALDERA 3 SENTINEL T8 - SM TIPO TURB. (CLASIF. 704-09) 92030241,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,BOMBA # 1 LLENADO DE CALDERA 3 SENTINEL T8 - SM TIPO TURB. (CLASIF. 704-09) 92030241,,,,,,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,
baja,BOMBA # 2 DE RED DE AGUA FRIA SENTINEL C500 A TIPO CO 110135,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,BOMBA # 2 DE RED DE AGUA FRIA SENTINEL C500 A TIPO CO 110135,,,,,,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,
baja,BOMBA # 2 LLENADO DE CALDERA 3 SENTINEL T8 TIPO TURB. (CLASIF. 704-08) 70020219,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,BOMBA # 2 LLENADO DE CALDERA 3 SENTINEL T8 TIPO TURB. (CLASIF. 704-08) 70020219,,,,,,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,
baja,BOMBA MYCOM # 1 (RETIRADA) RECIRCULACION DE AGUA FRIA OV. 14595 OCELCO 1 1/2 FH C.B.5 64407,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,BOMBA MYCOM # 1 (RETIRADA) RECIRCULACION DE AGUA FRIA OV. 14595 OCELCO 1 1/2 FH C.B.5 64407,,,,,,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,
baja,BOMBA MYCOM # 2 RECIRCULACION DE AGUA FRIA OV. 14595 OCELCO 1 1/2 FH C.B.5 64408,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,BOMBA MYCOM # 2 RECIRCULACION DE AGUA FRIA OV. 14595 OCELCO 1 1/2 FH C.B.5 64408,,,,,,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,
